timestamp,phase,dataset,task,damage_type,layer_seq_index,pct,repeats_total,repeat_eval,ckpt,metric,baseline_metric,value,delta_from_baseline,f1,mae
20250813-110039,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9534883720930232,0.0,0.9629629629629628,
20250813-110039,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,1,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9418604651162792,0.0116279069767442,0.954954954954955,
20250813-110039,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,2,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9069767441860463,0.0465116279069768,0.925925925925926,
20250813-110039,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,3,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.8837209302325582,0.0697674418604651,0.9056603773584906,
20250813-110039,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,4,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.8837209302325582,0.0697674418604651,0.903846153846154,
20250813-110039,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,5,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.872093023255814,0.0813953488372093,0.8990825688073395,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9534883720930232,0.0,0.9629629629629628,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,1,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9418604651162792,0.0116279069767442,0.954954954954955,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,2,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9069767441860463,0.0465116279069768,0.925925925925926,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.2,5,3,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.8837209302325582,0.0697674418604651,0.9056603773584906,
